time (msec),x axis,y axis,z axis
8420,4064,-15864,392
8430,3856,-15820,524
8440,3736,-15880,592
8450,3812,-15588,496
8460,3976,-15008,924
8470,3032,-16420,1280
8480,3348,-14512,440
8490,3028,-15552,864
8500,2440,-15096,876
8510,1960,-15664,920
8520,3136,-15424,648
8530,3200,-14928,1148
8540,3056,-15148,388
8550,3020,-15524,1040
8560,3576,-14588,-368
8570,2888,-15448,688
8580,2396,-14604,1764
8590,2836,-15348,1952
8600,3212,-14868,1780
8610,3248,-14776,856
8620,3016,-15160,1608
8630,3292,-15456,928
8640,2748,-16096,1768
8650,3464,-15668,1264
8660,3460,-15388,1712
8670,3268,-15756,1636
8680,3472,-15336,1588
8690,3444,-15068,1592
8700,3488,-15604,1876
8710,3404,-15524,1828
8720,3716,-15676,1736
8730,3628,-15692,1904
8740,3512,-15808,1712
8750,3528,-15788,1728
8760,3352,-15660,1584
8770,3352,-15500,1812
8780,3320,-15340,1488
8790,3432,-15548,1456
8800,3316,-15716,1588
8810,3416,-15304,1684
8820,3344,-15744,1484
8830,3312,-15396,1864
8840,3248,-15932,1792
8850,3340,-15552,1856
8860,3468,-15864,1704
8870,3468,-15664,1956
8880,3676,-15988,1728
8890,3608,-16132,1712
8900,3464,-15832,1712
8910,3332,-15816,1572
8920,3120,-15768,1464
8930,3356,-15800,1520
8940,3348,-15848,1556
8950,3340,-15928,1628
8960,3596,-15900,1748
8970,3420,-16216,1960
8980,3612,-15684,1740
8990,3664,-15988,1960
9000,3840,-16148,1596
9010,3548,-15580,1808
9020,3904,-16144,1972
9030,3632,-15968,1756
9040,3764,-15740,1148
9050,3588,-16072,1684
9060,3876,-15548,1328
9070,4188,-15332,1312
9080,3808,-15436,1228
9090,3700,-15572,1468
9100,3772,-15588,1188
9110,3720,-15556,1140
9120,3972,-15404,1012
9130,4000,-15596,804
9140,4156,-15724,1028
9150,3836,-15724,844
9160,3884,-16208,1092
9170,4120,-16336,1064
9180,4432,-16108,852
9190,4476,-16336,900
9200,4444,-15964,928
9210,4516,-16008,344
9220,4328,-16112,648
9230,4532,-15812,600
9240,4644,-15652,440
9250,4552,-16512,532
9260,4464,-16144,456
9270,4584,-16216,560
9280,4556,-15796,360
9290,4588,-16104,240
9300,4516,-15840,436
9310,4492,-15880,180
9320,4888,-16000,4
9330,4904,-16252,176
9340,4716,-16172,352
9350,4380,-16204,-36
9360,4484,-16168,292
9370,4308,-16116,88
9380,4352,-16368,184
9390,4520,-15940,-144
9400,4316,-16168,-96
9410,4376,-15996,4
9420,4444,-16032,-340
9430,4844,-15916,-224
9440,4780,-15956,-396
9450,4900,-16032,-312
9460,4764,-16004,-364
9470,4776,-16108,-268
9480,4592,-15684,-152
9490,4524,-15928,-408
9500,4400,-15920,-332
9510,4432,-16108,-392
9520,4608,-16080,-600
9530,4408,-15952,-484
9540,4348,-16256,-660
9550,4440,-16172,-656
9560,4660,-15896,-540
9570,4456,-15772,-932
9580,5000,-15504,-844
9590,4844,-15896,-888
9600,4780,-15952,-920
9610,4396,-16208,-884
9620,4316,-15884,-896
9630,4344,-15824,-584
9640,4364,-15976,-632
9650,4588,-15880,-936
9660,5004,-15560,-824
9670,4916,-15768,-864
9680,4732,-15868,-868
9690,4532,-15812,-1044
9700,4656,-15908,-1116
9710,4516,-15836,-1140
9720,4856,-15808,-1264
9730,4908,-15804,-1420
9740,4736,-15892,-1148
9750,4548,-15928,-1068
9760,4556,-15504,-1112
9770,4760,-15560,-1736
9780,4752,-15932,-1456
9790,4732,-15588,-1468
9800,4924,-15988,-1644
9810,4844,-15848,-1572
9820,4908,-15716,-1260
9830,4784,-15700,-1484
9840,4604,-15688,-1668
9850,4460,-15928,-1740
9860,4436,-16048,-1380
9870,4624,-16228,-1764
9880,4412,-16340,-1816
9890,4676,-16232,-1892
9900,4776,-16256,-2232
9910,4772,-16252,-1864
9920,4936,-16340,-1824
9930,5128,-16032,-1916
9940,5228,-16220,-1948
9950,5176,-16236,-2052
9960,5292,-16200,-2096
